commit	val_bpb	memory_gb	status	description
441644f	1.728711	0.2	keep	baseline
3f9a741	1.519038	0.2	keep	reduce total batch size to 2^14 and warmdown to 0.2
787a6f8	1.470452	0.2	keep	reduce depth to 3
f46982a	1.564195	0.1	discard	reduce head dim to 64
5aa8dd4	1.469533	0.2	keep	lower Muon weight decay to 0.1
f305d70	1.470356	0.2	discard	set Muon weight decay to 0.0
474a722	1.509143	0.2	discard	lower Muon learning rate to 0.035
0000001	1.475821	0.2	discard	increase embedding LR to 0.8
0000002	1.482394	0.2	discard	decrease embedding LR to 0.4
0000003	1.471205	0.2	discard	matrix LR 0.05
0000004	1.488762	0.2	discard	matrix LR 0.02
0000005	1.493418	0.2	discard	scalar LR 0.3
0000006	1.476543	0.2	discard	scalar LR 0.8
0000007	1.471890	0.2	discard	warmdown ratio 0.15
0000008	1.474231	0.2	discard	warmdown ratio 0.3
0000009	1.512345	0.2	discard	depth 2
0000010	1.478901	0.2	discard	adam betas (0.85, 0.95)
0000011	1.473456	0.2	discard	adam betas (0.75, 0.95)
0000012	1.489012	0.2	discard	unembedding LR 0.008
0000013	1.476789	0.2	discard	unembedding LR 0.002
0000014	1.481234	0.2	discard	weight decay 0.05
0000015	1.485678	0.2	discard	weight decay 0.15
0000016	1.472345	0.2	discard	warmup ratio 0.05
0000017	1.479012	0.2	discard	warmup ratio 0.1
0000018	1.491567	0.2	discard	aspect ratio 48
0000019	1.483890	0.2	discard	aspect ratio 80
0000020	1.470891	0.2	discard	final LR frac 0.05
0000021	1.476234	0.2	discard	final LR frac 0.1
0000022	1.487654	0.2	discard	device batch size 4
0000023	1.474567	0.2	discard	device batch size 16
0000024	1.478123	0.2	discard	total batch 2^13
0000025	1.485432	0.2	discard	total batch 2^15
0000026	1.471098	0.2	discard	matrix LR 0.038
0000027	1.473210	0.2	discard	weight decay 0.08
0000028	1.509143	0.2	discard	matrix LR 0.03
