Device: mps
Compute dtype: torch.float32
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 2,359,424
  scalars                 : 6
  total                   : 10,748,038
Estimated FLOPs per token: 4.561382e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011057 | lrm: 1.00 | dt: 1032ms | tok/sec: 15,880 | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.970252 | lrm: 1.00 | dt: 783ms | tok/sec: 20,924 | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.768026 | lrm: 1.00 | dt: 784ms | tok/sec: 20,909 | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.490363 | lrm: 1.00 | dt: 774ms | tok/sec: 21,161 | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.263239 | lrm: 1.00 | dt: 768ms | tok/sec: 21,342 | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.035433 | lrm: 1.00 | dt: 775ms | tok/sec: 21,138 | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.849187 | lrm: 1.00 | dt: 780ms | tok/sec: 20,994 | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.650688 | lrm: 1.00 | dt: 788ms | tok/sec: 20,794 | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.498568 | lrm: 1.00 | dt: 893ms | tok/sec: 18,348 | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.378754 | lrm: 1.00 | dt: 794ms | tok/sec: 20,622 | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.242916 | lrm: 1.00 | dt: 820ms | tok/sec: 19,982 | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.130106 | lrm: 1.00 | dt: 817ms | tok/sec: 20,045 | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 7.056724 | lrm: 1.00 | dt: 800ms | tok/sec: 20,485 | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.957448 | lrm: 1.00 | dt: 812ms | tok/sec: 20,170 | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.889864 | lrm: 1.00 | dt: 825ms | tok/sec: 19,860 | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 6.822036 | lrm: 1.00 | dt: 807ms | tok/sec: 20,294 | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 6.754850 | lrm: 1.00 | dt: 813ms | tok/sec: 20,144 | epoch: 1 | remaining: 295s    
step 00017 (1.6%) | loss: 6.672937 | lrm: 1.00 | dt: 820ms | tok/sec: 19,989 | epoch: 1 | remaining: 294s    
step 00018 (1.9%) | loss: 6.596716 | lrm: 1.00 | dt: 809ms | tok/sec: 20,254 | epoch: 1 | remaining: 293s    
step 00019 (2.2%) | loss: 6.569758 | lrm: 1.00 | dt: 804ms | tok/sec: 20,374 | epoch: 1 | remaining: 293s    
step 00020 (2.4%) | loss: 6.525065 | lrm: 1.00 | dt: 798ms | tok/sec: 20,534 | epoch: 1 | remaining: 292s    
step 00021 (2.7%) | loss: 6.496885 | lrm: 1.00 | dt: 796ms | tok/sec: 20,573 | epoch: 1 | remaining: 291s    
step 00022 (3.0%) | loss: 6.451111 | lrm: 1.00 | dt: 799ms | tok/sec: 20,505 | epoch: 1 | remaining: 290s    
step 00023 (3.2%) | loss: 6.396591 | lrm: 1.00 | dt: 819ms | tok/sec: 19,996 | epoch: 1 | remaining: 289s    
step 00024 (3.5%) | loss: 6.372244 | lrm: 1.00 | dt: 826ms | tok/sec: 19,833 | epoch: 1 | remaining: 289s    
step 00025 (3.8%) | loss: 6.338969 | lrm: 1.00 | dt: 814ms | tok/sec: 20,119 | epoch: 1 | remaining: 288s    
step 00026 (4.1%) | loss: 6.305072 | lrm: 1.00 | dt: 799ms | tok/sec: 20,508 | epoch: 1 | remaining: 287s    
step 00027 (4.3%) | loss: 6.257073 | lrm: 1.00 | dt: 802ms | tok/sec: 20,417 | epoch: 1 | remaining: 286s    
step 00028 (4.6%) | loss: 6.224745 | lrm: 1.00 | dt: 807ms | tok/sec: 20,289 | epoch: 1 | remaining: 285s    
step 00029 (4.9%) | loss: 6.201550 | lrm: 1.00 | dt: 813ms | tok/sec: 20,151 | epoch: 1 | remaining: 285s    
step 00030 (5.1%) | loss: 6.176377 | lrm: 1.00 | dt: 811ms | tok/sec: 20,193 | epoch: 1 | remaining: 284s    
step 00031 (5.4%) | loss: 6.149607 | lrm: 1.00 | dt: 833ms | tok/sec: 19,668 | epoch: 1 | remaining: 283s    
step 00032 (5.7%) | loss: 6.128037 | lrm: 1.00 | dt: 810ms | tok/sec: 20,223 | epoch: 1 | remaining: 282s    
step 00033 (5.9%) | loss: 6.091346 | lrm: 1.00 | dt: 810ms | tok/sec: 20,236 | epoch: 1 | remaining: 281s    
step 00034 (6.2%) | loss: 6.059944 | lrm: 1.00 | dt: 806ms | tok/sec: 20,338 | epoch: 1 | remaining: 281s    
step 00035 (6.5%) | loss: 6.032733 | lrm: 1.00 | dt: 804ms | tok/sec: 20,379 | epoch: 1 | remaining: 280s    
